Title,Classification
  nigga you know we hacky sack hoes nah I throw no look passes lmao,Bad
 Glad Im getting outta Atlanta Nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em,Bad
 This isnt ghettoits smart  Im doing this idc,Good
 I would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place,Bad
 Being single isnt an excuse to be a hoe ,Bad
 White boy power bitch black power bitch,Bad
 Lets get drunk get blowed spit shit spark blunts amp fuck hoes Bro white dudes have no chill,Bad
  bitch where u been Around the world and back Where you been,Bad
  if I dont get my dick sucked at yo party by a bad bitch Im fr gone set it off  by  ,Bad
 oomf is soooo cute But he probably has hoes on him a lot,Bad
 In every cartoon theirs alway a  saving these hoes lmao  lmao damn captain SaveAHoe,Bad
 Who wants to get there nose in these bad bois then scally chav sockfetish stinking  hot sox and legs,Good
 I wish I was a bitch like my brother keezy  ooooow I bet you do,Bad
 If you dressed up as a cat for Halloween you are basic or a pussy,Bad
 Can pornhub just get a gaming stream feature so these dumb bitches can gtfo  get on it Katielt,Bad
 stop being scared to choke her during sex u bitch ass niggas Shell like it Says the guy who hits women out of bed FOH,Bad
  ha well iguess I make them hoes loyal bro theyll never be loyal that y they hoes my nig,Bad
  Oh man its  am you off a molly ho where the fuck ya seed at fixed,Bad
 Youre not a man if you refer to every girl as a bitch,Bad
 Lmfao this cat started beating the shit out of me my nigga finally got some pussy MY NIGGA,Bad
 Peel up peel up bring it back up rewind back where Im from they move Shaq from the line ooooow who tf said that trash,Good
  io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,Bad
  naw its my old tape new cover  my upcoming mixtape is KingOfTheHill Yeah Im waiting on that hoe Mayne,Bad
 Ol dirty foot ass bitches this was too funny to me,Bad
  thats where I get my yellow flags for being amazing  HELL YEAH NIGGY,Bad
 Dont got time for bitches to be actin iffy,Bad
 UCFPINKPARTY come on stay alive knights nation This is still the early bird special ComeAtMeUT,Good
 These hoes aint loyal  no they aint  amp wonder why nobody decent wants them,Bad
 Bruh you studs keep thinking Im soft as hell Ask ya girl how many times she screamed she was my bitch Oh okay STFU BYE HOE,Bad
 dry pussy bitches always blame it on the condom,Bad
 shut yo bitch ass up  ,Bad
 Gucci Mane in jail and dropping mixtapes every month and you hoes cant even text back,Bad
 You love these hoes more then money wats wrong these niggas,Bad
 A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo sounding like me over there lol,Bad
 Easy cum easy hoe Thats a fact ,Bad
 Charlie Sheen is too real  major fucking respect for Charlie Sheen,Bad
" Wish I had a bae 

You got all the hoes tho",Bad
 Fuck twerking bitch can you cook ,Bad
  bitch wtf ,Bad
   Shut up zoe fight me pussy for zoe Im good man You are good maam Move along now,Bad
 Lmao fucking snake bitches  em,Bad
 Big booty hoes everywhere sheesh  damn ,Bad
 Stay tuned to  for an update on the report that  B  will be out  weeks  bum,Good
  I play soccer cheat on girls and wear khaki coloured cargos haircut  yes lmfao,Good
 Oregon chokes every year get off the field trash ass program RFT,Bad
 Def not cowboy lol RT  Terrell Owens was the best Eagle amp Cowboy ever dude cried like a bitch on tv over Romo,Bad
 LMFAOOOO I HATE BLACK PEOPLE  This is why theres black people and niggers,Bad
   How could u do this to me bitch potent,Bad
  a pissed lad past out I would lick his dirty soles while he slept,Good
  love frat boy w soft long soles,Good
  sexy lad with hot soles and arches,Good
  nah fam I gotta cheat with the hoes depends on the female i feel,Bad
   I got hicks lol,Good
 This new twitter is confusing the shit out of me Go back to south america bitch,Bad
 Toto means ass or vaginaI think pussy cause toto santi is like nasty pussy,Bad
 but what if he actually does choose the ugly bitch over you Her ass must be fat,Bad
 bitch couldnt kill my vibe if ya tried  dis why i love miley ,Bad
 Im tired of bitches saying I look mean  nigga you big af wear tight shirts and grim everybody,Bad
  birds your grandkids may never see thanks to climate change   Climate,Good
 Stay beautiful you bitch,Bad
" WutKinda

r purple Ceeeleeeman this gurl was jus playin on the stupid hoe  track But in still shitted on sum gurls",Bad
 Money getting taller and bitches getting blurry,Bad
 I aint never seen a bitch so obsessed with they nigga Im obsessed with mine ,Bad
 Kobe stay talking trash But lets not forget   I meant to do this one Smh,Bad
 At least Im not a nigger ,Bad
 People always asking me what Im mixed with She a bad asian bitch lol,Bad
  Ariza is a snake and a coward but at least he isnt a cripple like your hero Roach lmaoo,Bad
"  Fosters home for imaginary trash WHOA CHILL

that show was everything tf",Good
 I am lowkey tired if you tired be quiet and go to sleep hoe,Bad
  Stop bringing weird niggers into my mentions  ,Bad
 We dont love these hoes ,Bad
 If yo girl cant have homeboys you a ol weak bitch ass nigga,Bad
  I think worst advice I gave you was  dont be a pussy and speed up lol,Bad
 Quote this tweet with your favorite animalpussy,Bad
 I hate when strippers tell you theyre dancers Hoe ballet dancers dont pop their pussy to Beethoven You a STRIPPER,Bad
" Andrewbryant Poff has double vision after  beers
Poff  Double pussy  smh",Bad
" When bitches TWERK on the computer

ME In ya  in ya damn ",Bad
    Prince THIS is art  nobody takin his bitch,Bad
  of welfaregovernment aid is claimed by white people So yall black slander is trash now,Good
 These bitches dont care they just play that role,Bad
" It took a while for you to find me but I was hiding In the lime tree
 dis bitch in da wrong tree bro",Bad
 Drakes new shoes that will be released by NikeJordan Yes theres glitter on the shoes  dudes a fag,Bad
  inna di ghetto You alone lmaoo,Good
    hoes Austin teach us AustinI teach u how to get curved Thats all I know,Good
 bitches cant cook but know how to suck dick  so to the ones that can do both,Bad
 Fat hoes get chose lol,Bad
 hoesaintloyal well theyre hoesno one expects them to be loyal,Bad
   ol bitch ass ,Bad
 Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad lmaooo,Bad
 Just because tony romo at the mavs game dont mean he still not a bitch lmao Fuk them cowgirls lol bitch fuck you,Bad
"  Holy shit Freddie Highmore was in Charlie and the Chocolate Factory
Me rolls on the floor laughing",Bad
 I dont want to have sex with my gf because I feel like Im using her  anonymous Whata faggot,Bad
  One of your followers with this    somebody bitch if you dont,Bad
 If ya bitch always bitching clearly she care Or just an annoying Bitch,Bad
 These catfish hoes thinkin they slick But niggas catching on ,Bad
 Cant worry about a bitch that aint worried bout me real,Bad
 Side hoes are for insecure niggas that cant handle a real one,Bad
 RT  Lmao This bitch come scooting in the tent like she about to fuck some shit up ,Bad
 My cousin said he share hoes with his brothers He said sharing is caring and he love his brothers ,Bad
 im hungry but ionn wanna spend my money on foodBroke hoe problems ,Bad
 Dese hoes be LYIN to all of us nigga,Bad
  oh yeah fuck that bitch,Bad
 Eli Manning just threw his NFLleading th interception of the season Lmao trash,Good
 USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team   hes a bitch,Good
 Guess what I also have zero time for your mansplaining Adios Stfu pussy,Bad
 Chilling   sexy scally lad,Good
 I aint sharing no bitch if you mines you mines ,Bad
 money only impress the simple broke bitches,Bad
 Pisces will never be anybodys bitch they dont let people control or change them Rigghhht,Bad
   tuku ho idk blah blah blah ,Good
   Im not mad cuh hahaha suure tuku ho ita ,Good
 These hoes is crazy,Bad
 You aint ever gonna be a slice bitch Kevin hart ,Bad
 Oomf so fuckin fine tho  dam  her dont be no bitch,Bad
 I wonder if the girl that gave head to  boys for a drink in magaluf has twitter she probly sends nudes for fags,Bad
" NewSATQuestions
Yeah bitch yeah bitch call me 
a Maybe
b SteveO
c Later
d Jesse Pinkman
",Bad
 Hickies in between her thighs right by her pussy gtgtgt Its only right,Bad
 Would you still love me when Im no longer young and beautiful No Ugly monkey ass,Bad
   yall come through the frontbitch I aint coming,Bad
  faggot bitch ,Bad
  yea Im on my iPad I dont work this Friday Lets ball this faggot up  work ,Bad
  this scally lad would get it,Good
 GerrysHalloweenParty  Halloween was yesterday stupid nigger,Bad
 Chrus still supahot tho walks up to teacher with test drops test in that bitch fohead ,Bad
  I love eating pussy lol I never get full lol I can eat that shit forever lol and ever,Bad
    No slushes hoes nasty anyway famthem hoes taste like meds,Bad
  No slushes hoes nasty anyway fam,Bad
 BOBBY BITCHby  be getting me live as fuck hell yea i play that hoe before my workout,Bad
 Yo bitch is Gucci Mane RT   My bitch a stoner  ,Bad
 I can ride your bitch with no handle bars,Bad
 And if you aint a hoe get up out my traphoussseeeee,Bad
  sad TV character deaths were still bitter over   stark was the man,Good
 These harbor bitches are all Party Bus hoes Lol all,Bad
  pussy love it,Bad
" Ultraviolence video its coming you little bitch MTVHottest Lana Del Rey  

bitchy promo",Bad
 On my way to fuck your bitch  KITTYCOPTER,Bad
 A smuggler explains how he helped fighters along the Jihadi Highway ,Good
  Aww their avis look so cute together    do I gotta get Ike avi on this bitch ,Bad
  Its simple dont be a hoedont worry about being exposed  fight mewhy ,Bad
 whys this bitch boosting herself  size isnt exactly the most healthy tho,Bad
  bet not be no bitches   Kim bye,Bad
 Damn near gotta protect my tweets stalkers being annoying you got that dope dick Drive these bitches loco,Bad
 Im making marack my girlfriend   aye b you pullin hoes just like o taught you,Bad
 Bruno fag boy you love me,Bad
  I must be a bitch you are  sike naw This why we always beefing ,Bad
 Down  Yankees look to rally in the bottom of the th RALLYCAP,Good
  Dont take advantage of a nice person hoes everyjuan,Bad
 Happy birthday bitch nigga  Thanks pal,Bad
 Sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday,Bad
  cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,Bad
  ewww I said THAT last Sundayas in the last Sunday I was there Read it again nigs,Bad
 I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back Strong Mush or Shake,Bad
 My pussy still fresh lt something stank girls say,Bad
 Ass slapping is one the greatest things Haha  I slapped a girl on the ass  She got mad I aint get pussy for a week,Bad
   yeah Texans are so much better you fucking retard I see that youre mad about this,Bad
 Nd wtf is up with dark bitches with blonde PLEASE HAVE SEVERAL SEATS HOE looking like blackampmilds out here,Bad
 Theres a lane some bitches need to stay in  the left n get right the fuck outta our face ,Bad
 I hate when boys deny that they have bitches  smh,Bad
 Ya nigs out there still saying yall dont eat butt WITH A STRAIGHT FACE,Bad
 Im a boss ass bitch that needs to sit in a corner,Bad
 Hes a hoe  I cant,Bad
 Me And Paul Thinkin Bout Gettin Rentals For Da Weekend oooh shit bitches betta stay out da streets,Bad
 bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story ,Bad
 why do my friends hate me because you a ratchet hoe,Bad
 No love for these fuck niggas hoes,Bad
 Hot meat  sexy as fuck scally lad I would love to meet him and his trainers,Bad
 Sniff  perved up scally lad fuck yeah,Bad
 These bitches love Sosa,Bad
  I legit watched it for about  or  seconds SO DID I WTF prob cause were retarded smh,Bad
 What should I name my cat ideas Mr pussy,Bad
  woof woof Sexy thug boy scally,Bad
  u see the damn phone ringing  when you married bitches makes demands You havent called me,Bad
 Tevin is my favorite sophomore I think hes so funny Hes really not Lmaoo hes a little hoe,Bad
  sex positions   this what u call fucking the soul outta bitch ,Bad
  is bored supposed to be cute you faggot Sometimes,Bad
 One mans trash  is another mans treasure ,Good
 I dont got no type Bad bitches is the only thing I like Iongotnotype,Bad
  lassen cc  the coach wants me i feel it youll get more my nig no doubt,Bad
" god teeth  gold chain
white bitches  cocaine",Bad
 Its me hoe its me hoe shhhhh,Bad
 In DC we call them rollers in Chiraq we call them thots All across America they have been known as a hoe,Bad
 Im gonna miss that bitch of a bus driverno you wont Dont lie,Bad
 hate when bitches try and put you in the friendzone bitch Im tryin to score put me in the endzone  ON MY SOUL,Bad
 Ashley Young has tried to deny that bird s landed in his mouth gt   hahaha,Good
  yall both gimped up Aint tht a bitch huh lol,Bad
  Take me for a ride   woof woof,Good
 oh my god I love Victoria Mitchell all my bitches love me,Bad
 That long distance shit wack I knew the bitch was cheating uh oh,Bad
 HES DOING IT RIGHT   no bitches smh,Bad
 they BAN dat pussy for life amp he gotta pay  millon dollar fine,Bad
 Roses are red and violets are blue and niggers are black you know thats true ,Bad
 Sitting on my window sill window open bird tries to fly in Smacked it ProtectTheAnimals ,Good
 But a nigga gon be a nigga be a nigga You sound fuckin retarded,Bad
 a video an entire media will likely mock  i am such a crybaby,Good
"   Im not even shy stfu kikis mom Hi angelique 
Angelique Smiles Dips cracker in soup",Bad
 Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville Smh ,Bad
" Karma is a bitch Damn GodProtectsHisAngels 

sips tea",Bad
 Fuckin hot gym pussy  fuck yeah,Bad
 Jihadi patron Hajjaj alAjmi is arrested at Kuwait airport ,Good
 You can call me Fireman cause I turn the hoes on,Bad
 I could never have a bby by a lil dick Thts y I got a abortion by the last bitch oh My God,Bad
 Watch women try to argue with me like they have a dick and actually fucked some pussy before I hate when bitches do that,Bad
 And smoke weed in public fuck cops man do what you wanna do they dont own you run if they come are you retarded,Bad
 tweety bird tho ,Good
 my pussy sweet like watermelon ,Bad
 When twitter rappers dm me their trash links ,Good
 loud bitches annoy me,Bad
 Eventually every bitch turns into that hoe  Truuu,Bad
   I swear if oomf try talking to me tomorrow   pussy,Bad
 You bitches be pretending to be TF crazy You aint never lied,Bad
  k bye hoe um bye ,Bad
 Jackies a retard blondeproblems At least I can make a grilled cheese,Bad
 ima keep on giving these pussy ass niggas ah reason to hate ,Bad
 Photo  he is in sole heaven,Good
 Stacey Dash won   baddest bitch evaaaa,Bad
 Side bitch Sunday  ,Bad
 Facts what baldheaded bitch made this shit   ,Bad
 Fuck wit us and then we tweakin hoe shmurda,Bad
 We actin like its the th day  ,Good
 Ill break that lil bitch neck and wont even feel sorry about it Savage,Bad
 This is so fucking hot scally sneakersex sockfetish sniff trainersex  love me some kinky scallies,Bad
 Yall dumb ass niggas be so pressed to have hoes Yall weak as fuck as fuck weed over hoes oreos too,Bad
 I can turn yo bitch into a eaterrrrrrrrr,Bad
 I dont trust dese hoes Nikki told st where I stay at all my fans screen shot ASAP we finna come to Chiraq and shoot sumn,Bad
  Aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard,Bad
 Now u got what u want bitch  Enjoy it  now this is a crazy party I would love to attend,Bad
" colored contacts in your eyes
blinders on mine
cause i cant see you at all Lmao",Good
 Facts  Only the dudes with hoes say they dont got hoes ,Bad
 Im rea start smacking bitches period  Bluffin at its best,Bad
" Lifes a bitch and then you die 
Thats why we get high cause you neva know when youre gonna go my sister is perfect ",Bad
 One of us is on drugs and its me but youre still wrong   hahahahahahah im a bitch sometimes ,Bad
 Im feeling pretty fuckin ghetto Smh,Bad
     swears Im  man easily easily behind Austin nip,Good
 This is a true ride or die bitch   what the fuck hahahahah,Bad
 HGWells and Charlie Chaplin  History Photography,Good
 All I see is Brunos bitch ass on my twitter now wtf Brunos all that she sees Drake voice,Bad
  Im about to cool faggot chill tf is cool nigga,Bad
  Im so sure bitch frfr tf,Bad
 Twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn Fox etc are all keeping quiet,Bad
 Got a couple bitches saying they know me But Ima let the money talk for me  AND IM LIKE WWYD,Bad
 Grudges are for weirdosand bitches,Bad
" I told Mariam to but cigarettes for her birthday

You also called me trash rn",Good
  brownies tonight what kind,Good
 No text back I dont give a fuck Ill text another bitch damn someone is hurt lol,Bad
 Ummmmmm okay  you got hoes from left to right  do yah thang,Bad
 using ymxb to find the slope of that ass,Bad
 Fit lads Nice gear  these scally lads n trainers would get it,Good
 Hell yeah bro  fuck yeah sexy scally lad in hot gear,Bad
 Helping out a mate  I love scally play Fuck yeah,Bad
 Lads being Lads  fuck yeah I love scally lad action Hot trainers too,Bad
 Next year bitches is gonna be like you gotta promise you wont expose me ,Bad
  So hot RT  Lick it bitch  fuck yeah Eat that trainer u dirty fucker,Bad
  Yall think celebrity pussy different from the locals  yeah Meghan goods is,Bad
 I saw an ajumma walk out in the beginning saying Wow this is so trash that I cant even listen to it  lmaoo,Good
 Need these sox  fuck yeah I love a kinky scally lad w rank sox and sneaks,Bad
 I dont ever expose females like that Thats childish bitch nigga shiiii,Bad
"   yasss

trys new things with bestfriend

bitch who do you love",Bad
 Dude remember this wop video   OMG WHERE DID YOU FIND THAT,Good
 Thick raw fuck  Damn his man pussy is getting a workout,Bad
 RAWR RT  My sexy French scally I love him frenchscally  sexy scally woof woof,Good
 Nothin in life is free Some of you bitches need to write that on ya panties,Bad
  if one of you bitches want some of my burrito u can catch me at potosino huh Haha,Bad
 Niggas whole hoes out here cuz Couldnt had said it better,Bad
" Hardcore way to eat Mac and cheese
 Boil water 
 Snort cheese powder
 Drink boiling water 
 Fuck bitches",Bad
 YoureNotMyType if my fade is perpetually fresher than yours Thats a real ass bitch rite there,Bad
 annoying bitch that I love  JUDYANNS SO PRETTY,Bad
  bitch got on some huggies,Bad
" Hi bitch 
No bitch
Bye bitch ",Bad
 does he look like a bitch ,Bad
 Chase money  not  hoes  ,Bad
 cant stand a I dont know what I want ass nigga  bitch,Bad
   Im on my way  love a chavhot sexy scally fucker,Bad
 These newly gay bitches dont kno how shit works,Bad
 When a bitch dont want a real job they just become strippers lol lol,Bad
 Awww Meat Meat In His Feelinsi ainn n my feelings bitch,Bad
 I Want Snake Bites  MY Industrial Piercin amp A TattooDem hoe accessories dea ,Bad
 Baby albino   ,Good
 these hoes aint loyal,Bad
 YASSSSSS ORDERED CHINESE  bitch you just ate tacos you fat fuck,Bad
 I made that bitch lunch  Bitches love lunch,Bad
"A NO BRAINER
But as soon as this bitch gets rich in political power her views will change
POLITICAL WHORES ",Bad
A pussy a day keeps the devil away ,Bad
Aint that about a bitch What does that mean,Bad
All these bitches want a baby I dont want no children,Bad
And bitch you must be lost ,Bad
Baby I like being on your left side no bitch you cant be there Cuz the street on that side and Twitter said I aint real if you do,Bad
Bae sounds like such a ghetto word Use something else,Good
Batter the wee cunt Jewis y cos he fucked my ex Emma isnt battering the girls Ive nailedIve moved onstop being a pussy n do it urself,Bad
Bleed out hoe Alexa,Bad
Boolin in the bando wit a few bitches,Bad
Brownies for my brownie I love this movie ,Good
But I need a bad bitch thats hotter than me might be the realist shit PartyNextDoor ever said Thats how I be feelin everyday,Bad
By the way we do punch bitches,Bad
Caesar is home RT    so much this bitch looks like Lets start with ape shit,Bad
Chinese Maverick We were communicating Comrade  u know giving the imperialist Yanks the Birdie ,Good
"Dad say hi to my snapchat 
Dad  duces bitch ",Bad
Do you believe these hoes are not in fact loyal I disagree with that I do believe they are in fact the loyalest bunchthese hoes,Bad
Dont know no ugly bitches Dont know no broke niggas,Bad
Dont make me make you fall in live with a nigga like meee The birds amp are my favorite songs by Weeknd,Bad
Dont worry about the nigga you see worry about the nigga you DONT see Dats da nigga fuckin yo bitch,Bad
Dont you ever give my pussy away You keep it tight alright,Bad
"Dropped a stack cause bitch Im ON
 
Song called Dope
Download the mixtape here ",Bad
Dumb bitches do dumb things,Bad
Eat the pussy like a real nigga hungry,Bad
Eff it Lets go after the cripple ,Bad
Everything look better with a bitch next to it,Bad
Facto  Who cares if you a hoe when your ass looks like this ,Bad
For every bad bitch there is a nigga tired of fucking her,Bad
Foreign chick no lie Man that bitch Beautiful,Bad
Fresh nigga so you kno I need a clean bitch Who kno Im working cuz I wanna see my team rich ,Bad
Fuck  I make my own rules Suck my dragon balls bitch call me goku,Bad
Generate ASCII boxes with NodeJS all I see is the ability to bring flappybird in node via ASCII tubes and bird  ,Good
Get me that shit bitch you is fine bear,Bad
Get your ass back to Detroit ya fuckin wigger,Bad
Girls that I dated its okay I aint mad yo unless you stabbed me in the heart no love hoe,Bad
HOW DO YOU KNOW MY TWITTER PASSWORD bitch please,Bad
Have you seen my shows Have you seen my hoes If I wasnt hot would they be so thick,Bad
He a bitch for hitting that hoe ,Bad
He married to a white woman lucky sumbitch  Uncle Ruckus,Bad
He wanna be my nigga but Im just trinna be his savings account   omg imma funny ass bitch man but thats Real Shit ,Bad
Her great grandmas a hoeher grandmas a hoeher moms and a hoe and shes a hoe Its a long line of hoes Grandpa Carl everyone,Bad
